wavelength,flux
6501.367238000001,12397855800.0
6501.371464,11999268500.0
6501.375690999999,11581803900.0
6501.3799180000005,11149894300.0
6501.384145,10708792800.0
6501.388372,10264409000.000002
6501.392598,9822980900.0
6501.396825000001,9391403200.0
6501.401052,8976241900.0
6501.4052790000005,8583570900.0
6501.409506,8219299700.0
6501.413732,7888352900.0
6501.417959,7594834300.0
6501.422186,7342191100.0
6501.426413,7133049600.0
6501.43064,6968887000.0
6501.434867,6851180800.0
6501.439093999999,6780587200.0
6501.443319999999,6757434500.0
6501.447547,6781886800.0
6501.451773999999,6853943800.0
6501.4560010000005,6973113000.0
6501.460228,7138573400.0
6501.464455,7349011700.0
6501.468682,7602950300.0
6501.472909,7897598500.0
6501.4771359999995,8229509000.0
6501.481363000001,8594742000.0
6501.48559,8988044400.0
6501.489815999999,9403835000.0
6501.494043000001,9835875900.0
6501.49827,10277436700.0
6501.502497,10721787300.0
6501.506724,11162689800.0
6501.510951,11594070600.0
6501.515178,12011005100.0
6501.519405,12409225500.0
6501.523631999999,12785120400.0
6501.527859,13136720200.0
6501.532085999999,13462547400.0
6501.5363130000005,13761945700.0
6501.54054,14035407499.999998
6501.544767,14283261200.0
6501.548994,14507148400.0
6501.553221,14708054100.0
6501.557448,14887948100.0
6501.561675000001,15048472100.000002
6501.565902,15191431600.0
6501.570129000001,15318468300.000002
6501.574356,15431387900.0
6501.578583,15531503600.0
6501.58281,15620128700.0
6501.587037,15698904600.000002
6501.591264999999,15768816300.0
6501.595492,15830848700.0
6501.599719,15885986700.000002
6501.603946,15935051200.000002
6501.608173,15978862800.0
6501.6124,16017749800.0
6501.616626999999,16052697199.999998
6501.620854000001,16083869200.0
6501.625081,16111758100.0
6501.6293080000005,16136856500.0
6501.633535,16159492499.999998
6501.637763,16179830500.0
6501.64199,16198198700.0
6501.6462169999995,16214761300.0
6501.650444000001,16229682299.999998
6501.654671,16243290100.0
6501.658898,16255748900.0
6501.663125,16267058600.0
6501.667353000001,16277219300.0
6501.67158,16286559200.0
6501.6758070000005,16295242600.0
6501.680034,16303105100.0
6501.684261,16310147000.0
6501.688488999999,16316860500.000002
6501.692716,16322917500.0
6501.696942999999,16328482000.0
6501.70117,16333718200.0
6501.705397,16338461900.0
6501.7096249999995,16342877300.0
6501.713852000001,16346800399.999998
6501.718079,16350723400.0
6501.722306000001,16354153900.0
6501.726533999999,16357420300.0
6501.730761,16360358500.0
6501.734987999999,16363296600.0
6501.739215,16365906400.000002
6501.743443,16368352000.0
6501.74767,16370633600.0
6501.751897,16372750900.0
6501.7561239999995,16374704200.0
6501.760352,16376493299.999998
6501.764579,16378282300.0
6501.768806,16379907300.0
6501.773034,16381368100.0
6501.777260999999,16382828800.0
6501.7814880000005,16384289600.0
6501.785715,16385422100.0
6501.789943,16386718700.0
6501.794169999999,16387851200.0
6501.7983970000005,16388819600.0
6501.802625,16389787900.0
6501.806852,16390756300.0
6501.8110799999995,16391724600.0
6501.815307000001,16392528800.0
6501.819534,16393333000.000002
6501.823762,16393973100.000002
6501.827988999999,16394777300.0
6501.832216000001,16395417300.0
6501.8364440000005,16396057400.0
6501.840671,16396533300.0
6501.844899,16397173300.0
6501.849125999999,16397649200.0
6501.853353,16398125100.0
6501.857581,16398601000.0
